Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,14819.0,14849.2998046875,14712.2001953125,14779.0,14614.986328125,23859
2020-01-02,14848.900390625,14853.0,14687.2001953125,14729.2998046875,14565.837890625,46116
2020-01-03,14750.0,14795.0,14556.099609375,14593.599609375,14431.64453125,40000
2020-01-06,14542.0,14542.0,14275.0,14416.7001953125,14256.70703125,65136
2020-01-07,14423.5,14546.7998046875,14260.7998046875,14290.7998046875,14132.205078125,72237
2020-01-08,14191.599609375,14450.0,14120.2998046875,14391.2001953125,14231.490234375,39488
2020-01-09,14495.0,14675.0,14450.0,14643.5,14480.9892578125,55708
2020-01-10,14643.5,14718.900390625,14570.2001953125,14685.7998046875,14522.8203125,39274
2020-01-13,14747.900390625,14747.900390625,14601.0,14658.2001953125,14495.52734375,26990
2020-01-14,14657.900390625,14895.0,14607.0,14868.599609375,14703.591796875,50378
2020-01-15,14828.0,14950.0,14718.7998046875,14860.2001953125,14695.2861328125,41468
2020-01-16,14851.0,15398.0,14848.099609375,15354.900390625,15184.49609375,203208
2020-01-17,15399.0,15600.0,15358.7001953125,15439.5,15268.15625,96399
2020-01-20,15230.2001953125,15479.400390625,15230.2001953125,15417.2001953125,15246.103515625,68770
2020-01-21,15361.0,15501.599609375,15200.0,15280.7998046875,15111.21875,63258
2020-01-22,15369.0,15585.0,15301.0,15548.7001953125,15376.1455078125,55627
2020-01-23,15500.0,15625.0,15455.0,15548.7998046875,15376.2431640625,42861
2020-01-24,15600.0,15850.0,15500.2001953125,15755.5,15580.6494140625,50632
2020-01-27,15700.0,15845.0,15560.0,15666.0,15492.142578125,31362
2020-01-28,15664.0,15710.0,15366.7998046875,15416.7001953125,15245.609375,53107
2020-01-29,15585.0,15900.0,15440.0,15866.7998046875,15690.71484375,64251
2020-01-30,15802.0,15810.7998046875,15471.2001953125,15520.7998046875,15348.5546875,47252
2020-01-31,15560.0,15637.2001953125,15310.2998046875,15359.5,15189.0439453125,59649
2020-02-03,15589.0,16500.0,15530.0,16301.0,16120.095703125,203752
2020-02-04,16400.0,16507.900390625,16127.0,16455.599609375,16272.9794921875,116416
2020-02-05,16476.0,16481.900390625,16256.0,16384.80078125,16202.966796875,57511
2020-02-06,16399.0,16549.400390625,16157.7998046875,16285.0,16104.2734375,74084
2020-02-07,16340.0,16385.0,16194.599609375,16327.7998046875,16146.59765625,41407
2020-02-10,16300.0,16373.099609375,16112.0,16172.2001953125,15992.7255859375,61270
2020-02-11,16240.0,16300.0,15950.0,15997.2001953125,15819.6669921875,73350
2020-02-12,16026.0,16472.599609375,15968.5,16297.7001953125,16116.8330078125,129011
2020-02-13,16328.0,16461.5,16277.2998046875,16412.19921875,16230.060546875,151228
2020-02-14,16500.0,16782.400390625,16250.0,16356.5,16174.9794921875,165708
2020-02-17,16413.0,16615.0,16373.0,16588.400390625,16404.306640625,139788
2020-02-18,16569.900390625,16569.900390625,16385.099609375,16403.80078125,16221.755859375,90013
2020-02-19,16538.599609375,16831.5,16475.80078125,16785.099609375,16598.82421875,95000
2020-02-20,16740.0,16740.0,16525.400390625,16539.5,16355.9501953125,65732
2020-02-24,16499.0,16576.80078125,16317.0,16337.2001953125,16155.89453125,66516
2020-02-25,16373.0,16540.80078125,16309.2998046875,16380.5,16198.7138671875,90916
2020-02-26,16545.0,16545.0,16150.0,16240.2001953125,16059.970703125,116839
2020-02-27,16300.0,16340.7998046875,16057.5,16263.7998046875,16083.30859375,90199
2020-02-28,16042.0,16129.0,15680.0,15778.7998046875,15603.69140625,140673
2020-03-02,15950.0,16315.0,15901.0,16110.0,15931.21484375,117232
2020-03-03,16130.2001953125,16499.0,16130.2001953125,16359.400390625,16177.84765625,93372
2020-03-04,16397.0,16632.5,16020.0,16541.5,16357.9267578125,111711
2020-03-05,16550.0,16835.19921875,16482.5,16576.30078125,16392.33984375,85090
2020-03-06,16358.099609375,16565.599609375,16200.099609375,16429.30078125,16246.97265625,86212
2020-03-09,16249.2998046875,16350.0,15701.099609375,16031.2998046875,15853.388671875,123684
2020-03-11,16005.2001953125,16200.0,15772.7998046875,16048.5,15870.3974609375,123732
